Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																																																																							
																																																																																																																																																																																																							
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																							
																																																																																																																																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																																																																							
																																																																																																																																																																																																							
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917					
		1.12%	1.37%	1.46%	0.80%	1.70%	1.20%	0.48%	1.98%	0.59%	0.62%	1.43%	1.48%	0.83%	0.95%	0.95%	1.58%	1.01%	0.70%	0.82%	1.45%	0.74%	1.65%	0.58%	1.46%	1.20%	0.99%	1.42%	0.58%	1.32%	0.35%	1.02%	0.89%	1.23%	0.80%	0.84%	0.87%	0.83%	1.69%	0.55%	0.95%	0.75%	1.16%	0.99%	0.59%	1.19%	2.57%	1.25%	1.99%	1.13%	1.60%	0.86%	1.36%	1.60%	1.25%	1.23%	0.36%	0.90%	0.62%	1.44%	0.48%	0.70%	1.89%	1.16%	0.80%	1.01%	0.54%	1.85%	0.64%	0.82%	1.76%	0.94%	1.01%	0.78%	1.10%	0.50%	1.76%	2.74%	1.09%	1.41%	0.77%	1.12%	1.11%	1.43%	0.81%	0.82%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	94	4	1	0	0	1	1	1	0	1	0	0	0	1	0	2	0	0	0	3	2	0	0	3	1	0	3	1	0	0	0	1	0	0	2	2	1	0	2	0	2	1	1	1	0	0	0	0	0	3	3	1	0	0	0	2	1	0	1	2	4	0	2	4	1	2	1	0	6	2	1	1	2	0	2	1	2	0	2	0	1	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.61%	0.18%	0.0%	0.0%	0.20%	0.16%	0.18%	0.0%	0.20%	0.0%	0.0%	0.0%	0.15%	0.0%	0.28%	0.0%	0.0%	0.0%	0.36%	0.29%	0.0%	0.0%	0.36%	0.15%	0.0%	0.35%	0.14%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.33%	0.43%	0.13%	0.0%	0.55%	0.0%	0.25%	0.10%	0.14%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.32%	0.12%	0.0%	0.0%	0.0%	0.24%	0.12%	0.0%	0.11%	0.19%	0.40%	0.0%	0.25%	0.35%	0.11%	0.21%	0.10%	0.0%	0.82%	0.18%	0.08%	0.11%	0.26%	0.0%	0.20%	0.11%	0.16%	0.0%	0.18%	0.0%	0.11%	0.30%	0.22%	0.18%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	102	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	3	0	2	1	1	0	0	2	2	0	3	0	1	2	2	0	1	1	1	0	0	0	1	2	0	0	0	0	1	0	2	1	0	2	0	0	1	1	5	3	2	0	0	2	3	0	7	2	2	1	3	2	2	0	0	1	0	1	5	3	4	4	1	2	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.0%	0.0%	0.26%	0.24%	0.0%	0.0%	0.0%	0.0%	0.20%	0.13%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.52%	0.0%	0.24%	0.14%	0.11%	0.0%	0.0%	0.30%	0.39%	0.0%	0.43%	0.0%	0.11%	0.20%	0.25%	0.0%	0.16%	0.16%	0.21%	0.0%	0.0%	0.0%	0.11%	0.25%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.26%	0.12%	0.0%	0.21%	0.0%	0.0%	0.12%	0.09%	0.60%	0.38%	0.31%	0.0%	0.0%	0.20%	0.25%	0.0%	0.62%	0.22%	0.21%	0.10%	0.27%	0.27%	0.18%	0.0%	0.0%	0.13%	0.0%	0.10%	0.58%	0.24%	0.31%	0.37%	0.07%	0.22%	0.0%	0.55%	0.18%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	96	3	1	1	2	0	0	1	1	0	6	0	0	2	0	0	1	2	0	3	2	0	0	1	1	1	0	0	0	1	2	3	0	1	0	1	0	0	0	0	0	0	0	2	1	2	2	1	2	2	3	0	3	1	3	0	2	0	0	4	1	0	1	3	2	0	1	3	1	0	2	1	2	1	0	2	0	3	3	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.45%	0.18%	0.26%	0.48%	0.0%	0.0%	0.18%	0.19%	0.0%	0.78%	0.0%	0.0%	0.31%	0.0%	0.0%	0.25%	0.35%	0.0%	0.36%	0.29%	0.0%	0.0%	0.12%	0.15%	0.19%	0.0%	0.0%	0.0%	0.11%	0.20%	0.38%	0.0%	0.16%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.13%	0.27%	0.31%	0.13%	0.25%	0.24%	0.32%	0.0%	0.40%	0.12%	0.28%	0.0%	0.25%	0.0%	0.0%	0.38%	0.10%	0.0%	0.12%	0.26%	0.22%	0.0%	0.10%	0.27%	0.13%	0.0%	0.17%	0.11%	0.26%	0.10%	0.0%	0.23%	0.0%	0.23%	0.28%	0.07%	0.22%	0.0%	0.22%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8778	77	63	52	32	80	79	50	51	48	70	19	32	80	74	86	39	64	82	85	67	145	62	104	67	76	123	102	162	93	139	105	113	63	72	72	99	75	57	96	110	138	87	110	83	88	66	91	109	97	115	119	116	121	140	114	102	110	140	141	169	164	126	176	118	125	118	151	91	193	207	107	84	139	122	125	169	220	140	177	125	107	128	154	7	3	1	2	2	0	1	1	0	3	2	0	0	6	0	0	0	0	1	0	2	0	1	0	0	2	1	0	0	0	0	1	1	4	3	1	0	1	0	0	0	2	0	1	2	1	1	0	0	2	0	0	0	0	2	3	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	1	2	3	0	0	0	4	0	0	0	3	0	0	0	0	1	1	3	0	2	0					
		13.24%	11.77%	11.55%	13.97%	7.78%	16.09%	12.80%	9.02%	10.15%	10.02%	9.10%	9.40%	6.68%	12.77%	11.74%	12.40%	9.84%	11.20%	13.48%	10.34%	9.97%	17.09%	18.18%	12.71%	10.06%	15.13%	14.55%	14.86%	16.54%	11.04%	14.25%	13.35%	13.89%	10.14%	12.22%	15.68%	13.73%	10.60%	15.83%	11.40%	13.92%	14.64%	12.37%	13.07%	11.03%	11.92%	10.34%	12.10%	13.72%	11.94%	12.48%	14.72%	15.52%	15.12%	13.29%	13.78%	13.17%	17.29%	15.52%	13.55%	17.13%	14.12%	16.32%	15.79%	13.28%	13.57%	12.86%	13.95%	12.5%	17.97%	17.72%	12.02%	11.00%	13.92%	12.23%	14.70%	13.62%	17.22%	13.24%	13.64%	14.07%	10.85%	14.12%	13.93%	5.78%	10.0%	9.09%	20.0%	16.66%	0.0%	10.0%	10.0%	0.0%	30.0%	20.0%	0.0%	0.0%	60.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	18.18%	0.0%	9.09%	0.0%	0.0%	18.18%	12.5%	0.0%	0.0%	0.0%	0.0%	10.0%	9.09%	40.0%	30.0%	9.09%	0.0%	6.25%	0.0%	0.0%	0.0%	18.18%	0.0%	9.09%	18.18%	10.0%	9.09%	0.0%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	16.66%	27.27%	9.09%	10.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	11.11%	0.0%	9.09%	9.09%	18.18%	15.78%	0.0%	0.0%	0.0%	6.06%	0.0%	0.0%	0.0%	12.0%	0.0%	0.0%	0.0%	0.0%	10.0%	4.76%	15.0%	0.0%	3.50%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	1	0	0	2	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	3	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	0	1	2	0	1	0	0	2	0	0	0	2	0	0	0	4	1	0	0	2	1	1	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.15%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.15%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.15%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.13%	0.42%	0.0%	0.11%	0.12%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.18%	0.12%	0.0%	0.15%	0.22%	0.0%	0.10%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.44%	0.13%	0.0%	0.0%	0.23%	0.08%	0.07%	0.47%	0.23%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	5381	67	42	25	26	29	46	64	33	26	101	18	67	54	48	60	43	62	48	54	60	83	26	64	69	55	72	47	83	67	80	50	58	40	35	37	41	88	31	54	54	52	58	46	62	67	40	67	43	79	80	65	39	77	83	66	57	43	81	88	59	72	60	86	71	74	78	84	48	64	69	76	88	77	99	70	104	82	74	105	53	83	82	108	10	2	2	1	2	0	0	0	0	0	3	0	0	2	1	5	0	4	0	0	2	3	1	5	1	0	0	2	0	4	4	2	1	0	2	1	2	1	0	1	8	1	2	1	0	2	2	1	4	1	0	0	0	2	1	0	2	1	4	4	0	3	2	0	1	3	1	10	3	2	2	1	0	6	1	0	3	2	2	0	2	6	0	2	0	0	2	1	0	2	0	0	0	0	7	5	1	4	5	5	15	0	0	3	2	4	1	6	0					
		8.11%	10.24%	7.70%	6.72%	6.32%	5.83%	7.45%	11.55%	6.57%	5.42%	13.13%	8.91%	13.98%	8.62%	7.61%	8.65%	10.85%	10.85%	7.89%	6.56%	8.92%	9.78%	7.62%	7.82%	10.36%	10.95%	8.52%	6.85%	8.47%	7.95%	8.20%	6.36%	7.13%	6.44%	5.94%	8.06%	5.68%	12.44%	8.61%	6.41%	6.83%	5.52%	8.25%	5.46%	8.24%	9.07%	6.26%	8.90%	5.41%	9.72%	8.68%	8.04%	5.22%	9.62%	7.88%	7.98%	7.36%	6.76%	8.98%	8.46%	5.98%	6.20%	7.77%	7.71%	7.99%	8.03%	8.50%	7.76%	6.59%	5.95%	5.90%	8.53%	11.53%	7.71%	9.92%	8.23%	8.38%	6.42%	7.00%	8.09%	5.96%	8.41%	9.05%	9.77%	8.26%	6.66%	18.18%	10.0%	16.66%	0.0%	0.0%	0.0%	0.0%	0.0%	30.0%	0.0%	0.0%	20.0%	10.0%	50.0%	0.0%	50.0%	0.0%	0.0%	18.18%	37.5%	9.09%	45.45%	8.33%	0.0%	0.0%	20.0%	0.0%	36.36%	33.33%	20.0%	9.09%	0.0%	20.0%	9.09%	18.18%	6.25%	0.0%	9.09%	72.72%	9.09%	18.18%	9.09%	0.0%	20.0%	18.18%	9.09%	36.36%	9.09%	0.0%	0.0%	0.0%	18.18%	8.33%	0.0%	18.18%	10.0%	36.36%	36.36%	0.0%	27.27%	18.18%	0.0%	9.09%	27.27%	9.09%	90.90%	25.0%	15.38%	18.18%	8.33%	0.0%	50.0%	9.09%	0.0%	27.27%	18.18%	18.18%	0.0%	22.22%	54.54%	0.0%	18.18%	0.0%	0.0%	20.0%	9.09%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	10.60%	38.46%	5.88%	18.18%	20.0%	50.0%	62.5%	0.0%	0.0%	30.0%	9.52%	20.0%	14.28%	10.52%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2347	27	23	9	16	17	28	23	18	18	25	9	16	37	18	34	15	16	13	28	24	20	16	37	21	12	26	16	36	37	47	22	21	29	25	13	29	21	11	21	22	43	17	29	25	24	23	13	32	27	39	21	29	30	44	27	20	23	27	44	31	45	28	34	29	50	40	43	29	28	49	30	24	34	35	19	55	56	42	64	27	29	30	35	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		3.54%	4.12%	4.22%	2.41%	3.89%	3.42%	4.53%	4.15%	3.58%	3.75%	3.25%	4.45%	3.34%	5.91%	2.85%	4.90%	3.78%	2.80%	2.13%	3.40%	3.57%	2.35%	4.69%	4.52%	3.15%	2.39%	3.07%	2.33%	3.67%	4.39%	4.82%	2.79%	2.58%	4.66%	4.24%	2.83%	4.02%	2.97%	3.05%	2.49%	2.78%	4.56%	2.41%	3.44%	3.32%	3.25%	3.60%	1.72%	4.03%	3.32%	4.23%	2.59%	3.88%	3.75%	4.17%	3.26%	2.58%	3.61%	2.99%	4.23%	3.14%	3.87%	3.62%	3.05%	3.26%	5.42%	4.36%	3.97%	3.98%	2.60%	4.19%	3.37%	3.14%	3.40%	3.51%	2.23%	4.43%	4.38%	3.97%	4.93%	3.04%	2.94%	3.31%	3.16%	0.82%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	10.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	10.0%	0.0%	0.0%	45.45%	0.0%	9.09%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	36.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	21785	232	180	123	175	180	209	198	183	183	254	87	170	221	227	252	129	184	204	252	248	260	107	298	265	159	261	206	308	260	298	263	289	198	201	133	206	255	99	278	219	257	206	258	275	245	215	246	216	282	325	250	231	298	361	280	308	218	277	373	309	357	273	363	313	320	301	363	252	323	339	299	256	322	335	287	396	358	420	399	276	315	318	371	65	13	0	0	2	0	0	1	3	0	0	3	0	0	2	3	0	1	2	0	2	1	1	0	1	6	3	3	0	5	0	3	1	0	3	3	0	2	0	0	0	0	2	0	4	2	4	0	3	4	2	0	1	1	5	0	1	5	2	2	11	0	6	4	1	0	1	0	2	0	0	5	3	1	8	0	1	4	3	1	1	4	4	0	9	4	4	7	5	2	7	5	12	2	22	0	9	2	1	2	3	0	0	2	7	6	2	5	0					
		32.85%	35.47%	33.02%	33.06%	42.57%	36.21%	33.87%	35.74%	36.45%	38.20%	33.02%	43.06%	35.49%	35.30%	36.03%	36.36%	32.57%	32.22%	33.55%	30.65%	36.90%	30.66%	31.37%	36.43%	39.78%	31.67%	30.88%	30.02%	31.46%	30.87%	30.56%	33.46%	35.54%	31.88%	34.12%	28.97%	28.57%	36.06%	27.5%	33.01%	27.72%	27.28%	29.30%	30.67%	36.56%	33.19%	33.69%	32.71%	27.20%	34.72%	35.28%	30.94%	30.92%	37.25%	34.28%	33.85%	39.79%	34.27%	30.70%	35.86%	31.33%	30.74%	35.36%	32.58%	35.24%	34.74%	32.82%	33.54%	34.61%	30.07%	29.02%	33.59%	33.55%	32.26%	33.60%	33.76%	31.93%	28.03%	39.73%	30.76%	31.08%	31.94%	35.09%	33.57%	53.71%	43.33%	0.0%	0.0%	16.66%	0.0%	0.0%	10.0%	30.0%	0.0%	0.0%	30.0%	0.0%	0.0%	20.0%	30.0%	0.0%	12.5%	18.18%	0.0%	18.18%	12.5%	9.09%	0.0%	8.33%	54.54%	37.5%	30.0%	0.0%	45.45%	0.0%	30.0%	9.09%	0.0%	30.0%	27.27%	0.0%	12.5%	0.0%	0.0%	0.0%	0.0%	18.18%	0.0%	36.36%	20.0%	36.36%	0.0%	27.27%	36.36%	20.0%	0.0%	9.09%	9.09%	41.66%	0.0%	9.09%	50.0%	18.18%	18.18%	100.0%	0.0%	54.54%	36.36%	9.09%	0.0%	9.09%	0.0%	16.66%	0.0%	0.0%	41.66%	27.27%	8.33%	72.72%	0.0%	9.09%	36.36%	27.27%	14.28%	11.11%	36.36%	44.44%	0.0%	69.23%	44.44%	40.0%	63.63%	45.45%	18.18%	36.84%	62.5%	100.0%	16.66%	33.33%	0.0%	52.94%	9.09%	4.0%	20.0%	12.5%	0.0%	0.0%	20.0%	33.33%	30.0%	28.57%	8.77%	0.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	82	3	0	1	0	0	1	1	0	2	1	1	1	0	1	0	0	1	2	3	1	0	1	1	3	0	1	1	0	2	0	0	0	2	0	1	2	0	1	0	1	0	2	1	4	4	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	3	0	0	2	1	3	1	1	0	1	1	1	1	3	1	3	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
